FIPS,INCOME_SUM,Winner_n,Winner,Value,Final,Final_pos
48187,844789,Romney,0,-1,-844789,15082710
48189,50012,Romney,0,-1,-50012,15877487
48191,3756,Romney,0,-1,-3756,15923743
48193,23332,Romney,0,-1,-23332,15904167
48195,22169,Romney,0,-1,-22169,15905330
48197,7236,Romney,0,-1,-7236,15920263
48199,161671,Romney,0,-1,-161671,15765828
48201,23713284,Obama,1,1,23713284,39640783
48203,346814,Romney,0,-1,-346814,15580685
48205,32537,Romney,0,-1,-32537,15894962
48207,13998,Romney,0,-1,-13998,15913501
48209,1100727,Romney,0,-1,-1100727,14826772
48211,40905,Romney,0,-1,-40905,15886594
48213,185907,Romney,0,-1,-185907,15741592
48215,807506,Obama,1,1,807506,16735005
48217,104841,Romney,0,-1,-104841,15822658
48219,155447,Romney,0,-1,-155447,15772052
48221,424171,Romney,0,-1,-424171,15503328
48223,63314,Romney,0,-1,-63314,15864185
48225,51263,Romney,0,-1,-51263,15876236
48227,86938,Romney,0,-1,-86938,15840561
48229,66693,Romney,0,-1,-66693,15860806
48231,287510,Romney,0,-1,-287510,15639989
48233,54350,Romney,0,-1,-54350,15873149
48235,150899,Romney,0,-1,-150899,15776600
48237,59111,Romney,0,-1,-59111,15868388
48239,82968,Romney,0,-1,-82968,15844531
48241,115215,Romney,0,-1,-115215,15812284
48243,5631,Romney,0,-1,-5631,15921868
48245,704129,Obama,1,1,704129,16631628
48247,8497,Obama,1,1,8497,15935996
48249,184803,Obama,1,1,184803,16112302
48251,879635,Romney,0,-1,-879635,15047864
48253,64777,Romney,0,-1,-64777,15862722
48255,115022,Romney,0,-1,-115022,15812477
48257,412929,Romney,0,-1,-412929,15514570
48259,678951,Romney,0,-1,-678951,15248548
48263,44440,Romney,0,-1,-44440,15883059
48265,189976,Romney,0,-1,-189976,15737523
48267,20947,Romney,0,-1,-20947,15906552
48269,1827,Romney,0,-1,-1827,15925672
48271,6743,Romney,0,-1,-6743,15920756
48273,54129,Obama,1,1,54129,15981628
48275,14801,Romney,0,-1,-14801,15912698
48277,86779,Romney,0,-1,-86779,15840720
48279,20528,Romney,0,-1,-20528,15906971
48281,103989,Romney,0,-1,-103989,15823510
48283,43211,Obama,1,1,43211,15970710
48285,118229,Romney,0,-1,-118229,15809270
48287,97440,Romney,0,-1,-97440,15830059
48289,44694,Romney,0,-1,-44694,15882805
48291,224749,Romney,0,-1,-224749,15702750
48293,45648,Romney,0,-1,-45648,15881851
48295,15608,Romney,0,-1,-15608,15911891
48297,112982,Romney,0,-1,-112982,15814517
48299,296175,Romney,0,-1,-296175,15631324
48303,799394,Romney,0,-1,-799394,15128105
48305,49926,Romney,0,-1,-49926,15877573
48307,13448,Romney,0,-1,-13448,15914051
48309,543778,Romney,0,-1,-543778,15383721
48311,17810,Romney,0,-1,-17810,15909689
48313,38888,Romney,0,-1,-38888,15888611
48315,39039,Romney,0,-1,-39039,15888460
48317,24589,Romney,0,-1,-24589,15902910
48319,132863,Romney,0,-1,-132863,15794636
48321,157722,Romney,0,-1,-157722,15769777
48323,39558,Obama,1,1,39558,15967057
48325,500552,Romney,0,-1,-500552,15426947
48327,17173,Romney,0,-1,-17173,15910326
48329,1211583,Romney,0,-1,-1211583,14715916
48331,57496,Romney,0,-1,-57496,15870003
48333,7932,Romney,0,-1,-7932,15919567
48335,31029,Romney,0,-1,-31029,15896470
48337,128003,Romney,0,-1,-128003,15799496
48339,3657910,Romney,0,-1,-3657910,12269589
48341,51398,Romney,0,-1,-51398,15876101
48343,28800,Romney,0,-1,-28800,15898699
48345,1203,Romney,0,-1,-1203,15926296
48347,111492,Romney,0,-1,-111492,15816007
48349,133307,Romney,0,-1,-133307,15794192
48351,75629,Romney,0,-1,-75629,15851870
48353,38915,Romney,0,-1,-38915,15888584
48355,1002779,Romney,0,-1,-1002779,14924720
48357,61951,Romney,0,-1,-61951,15865548
48359,4871,Romney,0,-1,-4871,15922628
48361,195865,Romney,0,-1,-195865,15731634
48363,125496,Romney,0,-1,-125496,15802003
48365,138389,Romney,0,-1,-138389,15789110
48367,1004718,Romney,0,-1,-1004718,14922781
48369,25494,Romney,0,-1,-25494,15902005
48371,25253,Romney,0,-1,-25253,15902246
48373,79970,Romney,0,-1,-79970,15847529
48375,486127,Romney,0,-1,-486127,15441372
48377,9136,Obama,1,1,9136,15936635
48379,32881,Romney,0,-1,-32881,15894618
48381,597021,Romney,0,-1,-597021,15330478
48383,14965,Romney,0,-1,-14965,15912534
48385,7782,Romney,0,-1,-7782,15919717
48387,18664,Romney,0,-1,-18664,15908835
48389,22646,Obama,1,1,22646,15950145
48391,22819,Romney,0,-1,-22819,15904680
48393,4420,Romney,0,-1,-4420,15923079
48395,93378,Romney,0,-1,-93378,15834121
48397,929473,Romney,0,-1,-929473,14998026
48399,23278,Romney,0,-1,-23278,15904221
48401,149025,Romney,0,-1,-149025,15778474
48403,24670,Romney,0,-1,-24670,15902829
48405,12155,Romney,0,-1,-12155,15915344
48407,145672,Romney,0,-1,-145672,15781827
48409,175605,Romney,0,-1,-175605,15751894
48411,9780,Romney,0,-1,-9780,15917719
48413,8366,Romney,0,-1,-8366,15919133
48415,52653,Romney,0,-1,-52653,15874846
48417,56132,Romney,0,-1,-56132,15871367
48419,53107,Romney,0,-1,-53107,15874392
48421,5773,Romney,0,-1,-5773,15921726
48423,828353,Romney,0,-1,-828353,15099146
48425,167446,Romney,0,-1,-167446,15760053
48427,34308,Obama,1,1,34308,15961807
48429,100574,Romney,0,-1,-100574,15826925
48431,45347,Romney,0,-1,-45347,15882152
48433,2576,Romney,0,-1,-2576,15924923
48435,16692,Romney,0,-1,-16692,15910807
48437,14674,Romney,0,-1,-14674,15912825
48439,8812999,Romney,0,-1,-8812999,7114500
48441,335492,Romney,0,-1,-335492,15592007
48447,22935,Romney,0,-1,-22935,15904564
48449,69942,Romney,0,-1,-69942,15857557
48451,298298,Romney,0,-1,-298298,15629201
48453,8101155,Obama,1,1,8101155,24028654
48455,20325,Romney,0,-1,-20325,15907174
48457,31217,Romney,0,-1,-31217,15896282
48459,326966,Romney,0,-1,-326966,15600533
48461,10662,Romney,0,-1,-10662,15916837
48463,53551,Romney,0,-1,-53551,15873948
48465,61550,Obama,1,1,61550,15989049
48467,142103,Romney,0,-1,-142103,15785396
48469,362771,Romney,0,-1,-362771,15564728
48471,214706,Romney,0,-1,-214706,15712793
48473,1153314,Romney,0,-1,-1153314,14774185
48475,39640,Romney,0,-1,-39640,15887859
48477,111638,Romney,0,-1,-111638,15815861
48479,344612,Obama,1,1,344612,16272111
48481,119692,Romney,0,-1,-119692,15807807
48483,73906,Romney,0,-1,-73906,15853593
48485,328109,Romney,0,-1,-328109,15599390
48487,28484,Romney,0,-1,-28484,15899015
48489,14689,Obama,1,1,14689,15942188
48491,2686083,Romney,0,-1,-2686083,13241416
48493,277891,Romney,0,-1,-277891,15649608
48495,19194,Romney,0,-1,-19194,15908305
48497,457350,Romney,0,-1,-457350,15470149
48499,105031,Romney,0,-1,-105031,15822468
48501,35758,Romney,0,-1,-35758,15891741
48503,82208,Romney,0,-1,-82208,15845291
48505,24516,Obama,1,1,24516,15952015
48507,12323,Obama,1,1,12323,15939822
49001,6259,Romney,0,-1,-6259,15921240
